des,type,p,q,soi,a,e,i,q
K11Uf1X, classical, m,0, I,42.433,0.098,7.21,38.274566
K11Uf1Y, classical, m,0, S,44.219,0.064,1.907,41.388984
K11Uf1Z, classical, m,0, S,45.541,0.054,1.214,43.081786
K11Uf2A, classical, m,0, I,46.25,0.148,2.956,39.405
K11Uf2B, classical, m,0, S,43.511,0.06,15.313,40.90034
K11Uf2C, classical, m,0, S,43.406,0.07,3.132,40.36758
K11Uf2D, classical, m,0, S,45.414,0.052,5.496,43.052472
K11Uf2E, classical, m,0, S,43.498,0.112,22.798,38.626224
K11Uf2F, classical, m,0, S,45.07,0.012,2.146,44.52916
K11Uf2G, classical, m,0, S,46.477,0.157,2.496,39.180111
K11Uf2H, classical, m,0, S,42.603,0.116,15.118,37.661052
K11Uf2J, classical, m,0, S,42.028,0.029,29.756,40.809188
K11Uf2K, classical, m,0, S,40.737,0.092,26.364,36.989196
K11Uf2L, classical, m,0, I,43.028,0.083,10.372,39.456676
K11Uf2M, classical, m,0, S,45.383,0.132,10.729,39.392444
K11Uf2N, classical, i,0, S,38.96,0.058,20.411,36.70032
K11Uf2O, classical, i,0, S,38.029,0.128,27.788,33.161288
K11Uf2P, detached,0,0, I,56.374,0.345,19.721,36.92497
K11Uf2Q, resonant,10,3, I,67.383,0.484,16.712,34.769628
K11Uf2R, detached,0,0, I,50.094,0.315,17.872,34.31439
K11Uf2S, classical, m,0, I,47.873,0.16,2.605,40.21332
K11Uf2T, classical, o,0, I,48.08,0.183,17.822,39.28136
K11Uf2W, resonant,21,5, I,78.175,0.521,12.976,37.445825
K11Uf2Z, resonant,4,3, S,36.435,0.133,6.812,31.589145
K11Uf3A, resonant,4,3, S,36.529,0.133,5.437,31.670643
K11Uf3J, detached,0,0, I,73.899,0.51,17.37,36.21051
K11Uf3K, resonant,13,8, SH,41.549,0.09,13.629,37.80959
K11V24Z, detached,0,0, S,51.103,0.334,23.218,34.034598
K11WF7J, resonant,6,1, S,99.01,0.622,27.099,37.42578
K11WI8W, detached,0,0, S,51.388,0.304,26.3,35.766048
K12A25Z, resonant,27,11, IH,54.684,0.335,17.699,36.36486
K12BF4V, classical, m,0, S,46.855,0.197,12.234,37.624565
K12BF4Y, resonant,5,3, S,42.283,0.169,7.144,35.137173
K12D30R, scattering,0,0, I,1037.846,0.986,77.997,14.529844
K12D85S, centaur,0,0, S,18.903,0.133,16.774,16.388901
K12D98Z, classical, m,0, S,42.753,0.024,2.763,41.726928
K12DA6Q, resonant,7,4, SH,43.819,0.167,1.125,36.501227
K12DC1V, detached,0,0, S,64.432,0.44,33.311,36.08192
K12E18E, detached,0,0, S,68.44,0.443,16.301,38.12108
K12F78Z, centaur,0,0, S,18.934,0.446,17.028,10.489436
K12F87N, resonant,3,2, S,39.371,0.254,20.644,29.370766
K12G01V, centaur,0,0, S,18.404,0.553,18.955,8.226588
K12G11U, scattering,0,0, S,173.925,0.895,10.756,18.262125
K12G12M, centaur,0,0, S,20.39,0.168,12.279,16.96448
K12G17X, scattering,0,0, S,37.469,0.549,32.549,16.898519
K12H85E, resonant,9,5, S,44.505,0.098,3.024,40.14351
K12H87W, scattering,0,0, S,91.742,0.646,14.095,32.476668
K12H87X, resonant,13,2, S,104.894,0.668,12.7,34.824808
K12L27B, centaur,0,0, S,20.28,0.229,25.779,15.63588
K12O06L, detached,0,0, S,54.134,0.299,8.793,37.947934
K12P26D, centaur,0,0, S,20.38,0.504,7.689,10.10848
K12S67B, classical, m,0, S,47.036,0.14,17.927,40.45096
K12TW4C, resonant,5,3, S,42.27,0.197,9.631,33.94281
K12TW4D, resonant,3,2, S,39.388,0.139,9.576,33.913068
K12TW4E, classical, m,0, S,46.12,0.12,5.547,40.5856
K12TW4F, classical, m,0, S,43.363,0.11,7.883,38.59307
K12TZ9F, classical, m,0, S,42.093,0.073,24.742,39.020211
K12UH7G, resonant,3,2, S,39.302,0.225,21.876,30.45905
K12UH7H, resonant,3,2, S,39.392,0.191,23.749,31.868128
K12UH7J, resonant,5,2, S,55.196,0.433,15.632,31.296132
K12UH7K, scattering,0,0, S,92.233,0.617,24.852,35.325239
K12UH7L, classical, m,0, S,40.666,0.117,19.236,35.908078
K12UH7M, classical, m,0, S,43.549,0.058,16.177,41.023158
K12UH7N, classical, m,0, S,43.174,0.159,20.094,36.309334
K12UH7O, classical, m,0, I,41.562,0.035,16.446,40.10733
K12UH7P, classical, m,0, S,42.838,0.1,16.601,38.5542
K12UH7Q, detached,0,0, S,51.958,0.312,19.602,35.747104
K12UH7R, detached,0,0, S,73.746,0.491,16.353,37.536714
K12UH7S, detached,0,0, S,56.089,0.367,17.214,35.504337
K12UH7T, classical, m,0, I,47.486,0.127,16.363,41.455278
K12UH7V, resonant,1,1, S,30.024,0.072,20.833,27.862272
K12UH7W, scattering,0,0, S,30.072,0.259,53.886,22.283352
K12UH8D, resonant,5,2, S,55.25,0.418,8.694,32.1555
K12UI5D, resonant,1,1, S,30.201,0.044,28.3,28.872156
K12UI5E, classical, m,0, S,41.814,0.15,20.463,35.5419
K12VB3P, detached,0,0, I,262.037,0.693,24.052,80.445359
K12VB6B, classical, m,0, S,47.069,0.161,23.227,39.490891
K12VC8R, classical, m,0, S,41.368,0.147,18.472,35.286904
K12W37D, resonant,17,11, I,40.186,0.116,21.125,35.524424
K12W37E, resonant,2,1, S,47.647,0.246,25.688,35.925838
K12W37F, resonant,3,2, S,39.379,0.29,19.013,27.95909
K12W37G, scattering,0,0, S,49.025,0.344,14.32,32.1604
K12XF7R, resonant,2,1, S,47.781,0.226,29.971,36.982494
K12XF9W, resonant,3,2, S,39.481,0.209,20.978,31.229471
K12Y09O, resonant,7,4, S,43.65,0.168,15.389,36.3168
K12Y12F, classical, m,0, S,43.551,0.14,28.169,37.45386
K12Y12G, resonant,3,2, S,39.428,0.214,30.918,30.990408
K13A60Z, scattering,0,0, I,462.248,0.983,16.552,7.858216
K13AA5S, jc,0,0, S,16.02,0.642,14.579,5.73516
K13AI3R, resonant,11,3, S,71.499,0.504,7.024,35.463504
K13AI3S, detached,0,0, I,61.186,0.406,21.697,36.344484
K13B76L, scattering,0,0, I,917.468,0.991,98.573,8.257212
K13B78K, scattering,0,0, S,38.521,0.785,2.205,8.282015
K13CD3Y, jc,0,0, S,7.844,0.258,17.697,5.820248
K13CD4A, scattering,0,0, S,31.018,0.646,8.519,10.980372
K13CM3E, centaur,0,0, S,21.793,0.156,5.169,18.393292
K13CO2Z, classical, m,0, S,44.89,0.232,33.785,34.47552
K13E27Z, centaur,0,0, S,19.513,0.546,14.626,8.858902
K13EE9M, classical, m,0, S,45.259,0.057,2.634,42.679237
K13EF4J, classical, m,0, S,44.021,0.116,9.782,38.914564
K13F28A, classical, m,0, S,44.184,0.042,1.537,42.328272
K13F28D, resonant,3,2, S,39.646,0.184,6.848,32.351136
K13F28G, resonant,17,7, I,54.364,0.338,21.052,35.988968
K13F28H, classical, m,0, S,43.256,0.141,13.08,37.156904
K13F28K, classical, m,0, S,42.88,0.112,12.049,38.07744
K13F28L, scattering,0,0, I,358.145,0.91,15.822,32.23305
K13F28M, resonant,13,5, S,56.82,0.377,14.928,35.39886
K13F28N, scattering,0,0, S,35.398,0.426,8.651,20.318452
K13F28O, resonant,2,1, S,47.773,0.221,8.877,37.215167
K13F28Q, detached,0,0, I,62.693,0.274,25.778,45.515118
K13F28S, scattering,0,0, I,137.558,0.739,13.06,35.902638
K13F28T, scattering,0,0, I,291.72,0.851,17.375,43.46628
K13GD6O, classical, i,0, S,38.769,0.06,24.276,36.44286
K13GD6Q, classical, o,0, S,48.721,0.173,2.03,40.292267
K13GD6S, resonant,5,2, S,55.629,0.385,6.978,34.211835
K13GD6X, resonant,2,1, S,48.001,0.251,1.1,35.952749
K13GD6Y, resonant,5,2, S,55.53,0.414,10.876,32.54058
K13GD7C, classical, m,0, S,43.229,0.028,2.308,42.018588
K13GD7E, resonant,3,2, S,39.337,0.257,3.866,29.227391
K13GD7F, resonant,3,2, S,39.569,0.158,14.68,33.317098
K13GD7G, resonant,3,2, S,39.337,0.136,2.392,33.987168
K13GD7H, resonant,3,2, S,39.441,0.228,13.468,30.448452
K13GD7J, resonant,3,2, S,39.493,0.267,16.873,28.948369
K13GD7L, resonant,3,2, S,39.267,0.2,10.439,31.4136
K13GD7M, classical, m,0, I,44.107,0.076,22.461,40.754868
K13GD7O, classical, m,0, S,41.424,0.092,29.251,37.612992
K13GD7P, classical, m,0, S,43.711,0.025,1.748,42.618225
K13GD7R, classical, m,0, S,42.627,0.044,4.226,40.751412
K13GD7S, classical, m,0, S,43.864,0.1,2.595,39.4776
K13GD7U, classical, m,0, S,44.84,0.075,4.972,41.477
K13GD7X, classical, m,0, S,43.289,0.058,4.129,40.778238
K13GD7Y, classical, m,0, S,44.884,0.101,5.31,40.350716
K13GD7Z, classical, m,0, S,41.444,0.048,21.116,39.454688
K13GD8B, classical, m,0, S,42.974,0.05,2.786,40.8253
K13GD8C, classical, m,0, S,42.895,0.051,3.022,40.707355
K13GD8D, classical, m,0, S,43.93,0.114,5.42,38.92198
K13GD8E, classical, m,0, S,44.16,0.052,3.067,41.86368
K13GD8F, classical, m,0, S,44.045,0.019,0.552,43.208145
K13GD8G, classical, m,0, S,47.459,0.028,24.608,46.130148
K13GD8J, scattering,0,0, S,122.649,0.787,27.958,26.124237
K13GE1W, scattering,0,0, I,576.295,0.959,32.073,23.628095
K13GF8M, classical, m,0, S,43.546,0.016,2.688,42.849264
K13GF8N, resonant,3,2, S,39.362,0.204,10.779,31.332152
K13HF6R, resonant,15,8, S,45.719,0.188,20.412,37.123828
K13HF6S, classical, m,0, I,45.676,0.177,8.259,37.591348
K13HF6W, resonant,3,2, S,39.592,0.243,9.93,29.971144
K13HG2G, jc,0,0, S,33.908,0.837,68.465,5.527004
K13J14X, centaur,0,0, S,11.412,0.357,10.417,7.337916
K13J63U, detached,0,0, S,48.649,0.259,4.309,36.048909
K13J63V, classical, m,0, S,46.423,0.214,8.217,36.488478
K13J63W, classical, m,0, S,45.639,0.101,7.74,41.029461
K13J64C, centaur,0,0, S,22.144,0.379,32.021,13.751424
K13J64F, resonant,5,2, S,55.425,0.45,8.785,30.48375
K13J64K, resonant,5,2, S,55.245,0.408,11.077,32.70504
K13J64L, detached,0,0, I,56.776,0.367,27.672,35.939208
K13J64O, scattering,0,0, S,143.317,0.755,8.58,35.112665
K13J64P, scattering,0,0, S,57.37,0.436,13.702,32.35668
K13J64Q, scattering,0,0, S,49.023,0.545,34.879,22.305465
K13J64R, scattering,0,0, S,77.572,0.541,10.459,35.605548
K13J64S, classical, m,0, S,42.527,0.048,9.633,40.485704
K13J64U, classical, m,0, S,40.181,0.07,26.609,37.36833
K13J64V, scattering,0,0, I,73.173,0.576,31.388,31.025352
K13J64Z, resonant,3,2, S,39.42,0.233,10.128,30.23514
K13J65A, resonant,3,2, S,39.52,0.149,10.223,33.63152
K13J65B, resonant,3,2, S,39.403,0.189,24.897,31.955833
K13J65C, resonant,3,2, S,39.375,0.294,16.409,27.79875
K13J65D, resonant,3,2, S,39.371,0.094,13.015,35.670126
K13J65E, resonant,3,2, S,39.355,0.278,8.048,28.41431
K13J65F, resonant,3,2, S,39.389,0.176,8.316,32.456536
K13J65G, resonant,3,2, S,39.365,0.249,15.934,29.563115
K13J65H, resonant,3,2, S,39.25,0.286,7.553,28.0245
K13J65M, classical, m,0, S,46.779,0.124,11.205,40.978404
K13J65Q, classical, m,0, S,44.258,0.122,8.413,38.858524
K13J65R, classical, m,0, S,46.196,0.189,11.707,37.464956
K13J65S, classical, m,0, S,40.576,0.022,13.729,39.683328
K13J65T, classical, m,0, S,46.623,0.198,8.573,37.391646
K13J65W, resonant,2,1, S,47.707,0.323,5.697,32.297639
K13J67X, classical, m,0, S,46.392,0.128,10.498,40.453824
K13K18Y, resonant,1,1, I,30.138,0.121,6.659,26.491302
K13L35U, classical, m,0, S,43.713,0.081,3.009,40.172247
K13L35Y, classical, m,0, S,42.656,0.056,8.719,40.267264
K13L36Z, resonant,5,2, S,55.329,0.342,13.863,36.406482
K13M12B, centaur,0,0, S,22.594,0.332,14.009,15.092792
K13M18R, resonant,3,2, S,39.4,0.34,31.106,26.004
K13N24M, classical, m,0, I,44.996,0.164,30.783,37.616656
K13N33T, centaur,0,0, S,29.609,0.447,20.423,16.373777
K13N33U, scattering,0,0, I,69.537,0.537,22.184,32.195631
K13P74U, scattering,0,0, S,33.773,0.532,12.708,15.805764
K13P74W, classical, i,0, S,38.068,0.119,25.79,33.537908
K13P74X, resonant,3,2, S,39.579,0.153,7.833,33.523413
K13P76S, classical, m,0, I,43.532,0.141,2.586,37.393988
K13P84D, detached,0,0, I,100.627,0.633,19.505,36.930109
K13Q95P, classical, m,0, S,40.64,0.169,25.441,33.77184
K13Q99R, classical, m,0, S,41.016,0.042,32.37,39.293328
K13QA3X, detached,0,0, I,50.435,0.263,32.489,37.170595
K13R30N, centaur,0,0, S,14.095,0.423,16.609,8.132815
K13R98B, resonant,5,3, S,42.198,0.257,21.939,31.353114
K13R98D, resonant,3,2, S,39.447,0.233,19.546,30.255849
K13R98F, scattering,0,0, I,363.571,0.901,29.538,35.993529
K13R98G, centaur,0,0, S,23.193,0.169,46.025,19.273383
K13R98P, classical, m,0, S,42.938,0.132,13.288,37.270184
K13R98Q, detached,0,0, I,55.755,0.435,37.69,31.501575
K13R98R, detached,0,0, S,50.213,0.285,37.761,35.902295
K13RA8X, classical, m,0, S,45.294,0.059,4.871,42.621654
K13RA8Y, scattering,0,0, S,45.562,0.461,10.76,24.557918
K13RA8Z, resonant,5,2, S,55.365,0.452,13.032,30.34002
K13RA9A, scattering,0,0, I,462.889,0.901,12.4,45.826011
K13RA9B, classical, m,0, S,40.205,0.108,23.151,35.86286
K13RA9C, resonant,3,2, S,39.419,0.279,43.514,28.421099
K13RA9D, scattering,0,0, S,32.38,0.081,11.119,29.75722
K13RA9E, resonant,7,4, S,43.65,0.152,5.417,37.0152
K13RA9F, classical, m,0, S,42.864,0.065,9.715,40.07784
K13RA9G, classical, i,0, S,38.238,0.09,22.722,34.79658
K13RA9H, resonant,4,3, S,36.378,0.073,14.822,33.722406
K13RA9J, classical, m,0, S,43.318,0.132,20.299,37.600024
K13RA9K, scattering,0,0, S,89.487,0.617,12.849,34.273521
K13RA9L, scattering,0,0, I,40.188,0.202,14.184,32.070024
K13RA9M, resonant,11,5, I,50.829,0.222,14.285,39.544962
K13RA9N, classical, m,0, S,42.539,0.156,32.306,35.902916
K13RA9O, classical, m,0, S,44.033,0.035,1.524,42.491845
K13RA9P, classical, m,0, S,44.703,0.104,2.351,40.053888
K13RA9Q, resonant,4,3, S,36.405,0.151,14.538,30.907845
K13RA9R, classical, o,0, I,47.885,0.058,4.238,45.10767
K13RA9S, classical, m,0, S,44.686,0.118,4.847,39.413052
K13RA9T, classical, m,0, S,45.442,0.21,17.244,35.89918
K13RC4D, classical, m,0, S,42.891,0.096,15.434,38.773464
K13RC4E, detached,0,0, I,120.866,0.669,31.675,40.006646
K13RC4F, classical, m,0, S,43.426,0.038,4.126,41.775812
K13RC4G, detached,0,0, I,90.918,0.572,43.523,38.912904
K13RC4H, classical, m,0, S,44.315,0.087,35.793,40.459595
K13RC4J, classical, m,0, S,43.869,0.06,4.045,41.23686
K13RC4K, resonant,3,2, S,39.539,0.186,7.057,32.184746
K13RC4L, resonant,1,1, S,30.069,0.024,10.139,29.347344
K13RC4M, resonant,5,1, S,87.787,0.598,13.863,35.290374
K13RC4N, classical, m,0, S,45.336,0.157,15.177,38.218248
K13RC4O, resonant,19,13, I,38.748,0.079,24.574,35.686908
K13RC4P, classical, m,0, S,45.605,0.192,32.23,36.84884
K13RC4Q, classical, m,0, S,46.744,0.17,21.619,38.79752
K13RC4R, classical, m,0, S,41.654,0.065,45.327,38.94649
K13RC4S, classical, m,0, S,46.34,0.25,15.276,34.755
K13RC4T, resonant,16,5, S,65.214,0.443,18.29,36.324198
K13RC4U, detached,0,0, S,48.247,0.25,31.65,36.18525
K13RC4V, classical, m,0, S,44.719,0.107,43.255,39.934067
K13RC4W, resonant,4,3, S,36.526,0.067,4.808,34.078758
K13RC4X, resonant,3,2, S,39.535,0.244,29.476,29.88846
K13RC8T, classical, m,0, S,40.324,0.108,24.169,35.969008
K13RC8U, detached,0,0, S,61.198,0.417,25.256,35.678434
K13RC8V, resonant,13,5, S,56.798,0.334,8.391,37.827468
K13RC8W, classical, m,0, S,45.451,0.131,5.608,39.496919
K13RF5Q, detached,0,0, I,51.247,0.313,38.513,35.206689
K13RF5R, detached,0,0, S,62.16,0.388,34.164,38.04192
K13RF5S, detached,0,0, I,50.451,0.266,34.085,37.031034
K13RF5T, detached,0,0, I,103.067,0.653,26.041,35.764249
K13RF5U, classical, m,0, S,43.974,0.083,1.797,40.324158
K13RF5V, classical, m,0, S,41.044,0.061,28.285,38.540316
K13RF5X, classical, m,0, S,46.785,0.261,27.949,34.574115
K13RF5Y, resonant,11,6, S,44.986,0.196,10.9,36.168744
K13RF5Z, classical, m,0, S,40.578,0.107,28.883,36.236154
K13RF6A, scattering,0,0, S,30.967,0.083,13.078,28.396739
K13RF6B, classical, i,0, S,38.868,0.113,38.963,34.475916
K13RF6C, scattering,0,0, I,173.061,0.784,35,37.381176
K13RF6D, classical, m,0, S,46.821,0.077,29.17,43.215783
K13RF6E, classical, m,0, S,40.551,0.041,13.417,38.888409
K13RF6F, resonant,3,2, S,39.388,0.258,6.596,29.225896
K13RF6G, resonant,3,2, S,39.332,0.174,5.372,32.488232
K13RF6H, resonant,3,2, S,39.384,0.057,9.006,37.139112
K13RF6O, classical, m,0, S,42.895,0.034,1.356,41.43657
K13RF6P, classical, i,0, S,38.976,0.116,31.476,34.454784
K13RF6Q, resonant,3,2, S,39.483,0.124,12.329,34.587108
K13RF6R, detached,0,0, I,62.694,0.214,29.498,49.277484
K13RF6S, detached,0,0, S,60.672,0.387,14.307,37.191936
K13RF6T, resonant,37,15, I,54.866,0.338,22.945,36.321292
K13RF6U, detached,0,0, I,56.61,0.375,11.583,35.38125
K13RF6V, resonant,7,4, S,43.664,0.082,5.718,40.083552
K13RF6W, classical, m,0, S,40.731,0.085,15.787,37.268865
K13RF6X, classical, m,0, S,44.897,0.191,31.195,36.321673
K13RF6Y, detached,0,0, I,49.308,0.284,14.874,35.304528
K13RF6Z, classical, m,0, I,41.074,0.061,26.449,38.568486
K13RF7A, detached,0,0, S,54.659,0.394,37.63,33.123354
K13RF7B, resonant,3,2, S,39.553,0.228,8.709,30.534916
K13RF7C, resonant,3,2, S,39.247,0.251,12.819,29.396003
K13RF7D, resonant,7,5, S,37.644,0.099,12.159,33.917244
K13RF7E, classical, m,0, S,45.91,0.136,35.637,39.66624
K13RF7F, resonant,3,1, S,62.636,0.42,20.451,36.32888
K13RF7G, classical, m,0, S,41.404,0.145,14.411,35.40042
K13RF7H, classical, i,0, S,38.611,0.04,5.427,37.06656
K13RF7L, detached,0,0, I,55.077,0.296,20.867,38.774208
K13RF7M, detached,0,0, S,56.656,0.35,14.166,36.8264
K13RF7O, scattering,0,0, S,72.317,0.558,12.227,31.964114
K13RF7P, resonant,5,3, I,42.426,0.125,8.803,37.12275
K13RF7Q, resonant,4,3, SH,36.333,0.072,15.529,33.717024
K13RF7R, classical, i,0, S,38.335,0.045,32.128,36.609925
K13RF7S, classical, m,0, S,45.674,0.174,10.778,37.726724
K13RF7T, classical, m,0, S,42.084,0.063,12.628,39.432708
K13RF7U, classical, m,0, I,43.257,0.183,33.05,35.340969
K13RF7V, scattering,0,0, S,68.149,0.504,11.563,33.801904
K13RF7W, classical, m,0, S,46.732,0.255,13.62,34.81534
K13RF7X, classical, m,0, S,41.264,0.041,12.806,39.572176
K13RF7Y, resonant,7,4, S,43.621,0.106,2.33,38.997174
K13RF8A, classical, m,0, S,45.823,0.167,18.99,38.170559
K13RF8B, classical, m,0, S,46.443,0.206,20.36,36.875742
K13RF8C, resonant,1,1, S,30.057,0.057,7.45,28.343751
K13RF8D, resonant,29,5, I,97.186,0.632,32.686,35.764448
K13RF8E, scattering,0,0, S,47.987,0.396,28.282,28.984148
K13RF8F, classical, m,0, I,47.344,0.209,16.554,37.449104
K13RF8G, detached,0,0, I,59.842,0.365,28.522,37.99967
K13RF8J, scattering,0,0, I,90.065,0.632,17.153,33.14392
K13RF8K, classical, m,0, S,44.604,0.125,34.322,39.0285
K13RF8L, classical, m,0, S,40.337,0.057,14.597,38.037791
K13RF8M, classical, m,0, S,43.617,0.103,18.255,39.124449
K13RF8N, scattering,0,0, S,46.311,0.344,14.389,30.380016
K13RF8O, classical, m,0, S,40.357,0.071,18.206,37.491653
K13RF8P, classical, m,0, S,44.242,0.058,0.234,41.675964
K13RF8Q, classical, m,0, S,45.402,0.073,8.258,42.087654
K13RF8T, classical, m,0, S,44.286,0.079,1.051,40.787406
K13S99E, resonant,13,3, I,80.039,0.542,18.272,36.657862
K13S99Y, scattering,0,0, I,733.926,0.932,4.226,49.906968
K13S99Z, classical, i,0, S,38.283,0.017,19.839,37.632189
K13SA0J, classical, m,0, S,43.564,0.043,2.948,41.690748
K13SA0K, detached,0,0, S,61.912,0.266,26.288,45.443408
K13SA0L, classical, m,0, S,43.79,0.059,3.421,41.20639
K13SA0M, classical, m,0, S,45.334,0.126,1.48,39.621916
K13SA0N, classical, m,0, S,43.635,0.026,6.215,42.50049
K13SA0O, classical, m,0, S,45.832,0.144,2.462,39.232192
K13SA0P, resonant,7,4, I,43.778,0.139,8.364,37.692858
K13SA0Q, resonant,2,1, S,47.846,0.253,12.957,35.740962
K13SA0R, classical, m,0, S,45.593,0.18,24.176,37.38626
K13SA0S, classical, m,0, S,43.905,0.083,2.553,40.260885
K13SA0T, classical, m,0, S,40.918,0.065,14.829,38.25833
K13SA0U, resonant,5,3, S,42.298,0.23,9.664,32.56946
K13SA0V, classical, m,0, S,43.068,0.034,2.1,41.603688
K13SA0W, classical, m,0, S,42.664,0.013,1.22,42.109368
K13SA0X, classical, m,0, S,42.768,0.016,1.277,42.083712
K13SA0Y, classical, m,0, I,43.281,0.163,27.029,36.226197
K13SA0Z, classical, m,0, S,43.636,0.07,8.454,40.58148
K13SA1A, resonant,2,1, S,47.752,0.27,3.689,34.85896
K13SA1B, resonant,7,4, S,43.646,0.116,2.065,38.583064
K13SA1C, classical, m,0, S,42.65,0.04,2.238,40.944
K13SA1D, classical, m,0, S,43.341,0.021,1.588,42.430839
K13SA1E, classical, m,0, S,44.129,0.076,0.91,40.775196
K13SA1F, classical, m,0, S,42.442,0.053,1.318,40.192574
K13SA1G, classical, m,0, S,46.555,0.056,1.782,43.94792
K13SA2G, classical, m,0, S,43.071,0.008,7.986,42.726432
K13SA2H, classical, i,0, S,37.903,0.053,19.382,35.894141
K13SA2J, resonant,7,4, S,43.619,0.277,7.346,31.536537
K13SA2K, classical, m,0, I,43.487,0.184,7.418,35.485392
K13SA2L, scattering,0,0, I,314.46,0.879,6.505,38.04966
K13SA2M, detached,0,0, S,52.276,0.256,11.407,38.893344
K13SA2N, detached,0,0, I,67.718,0.439,4.455,37.989798
K13SA2O, resonant,3,2, S,39.351,0.22,9.852,30.69378
K13SA2P, resonant,3,2, S,39.358,0.153,11.6,33.336226
K13SA2Q, resonant,16,3, I,91.67,0.616,29.548,35.20128
K13SA2R, resonant,7,3, S,52.87,0.384,29.921,32.56792
K13SA2S, classical, m,0, S,47.249,0.197,26.378,37.940947
K13SA2T, classical, m,0, S,43.934,0.081,2.479,40.375346
K13SA6D, classical, m,0, I,44.166,0.15,21.885,37.5411
K13SA6E, classical, m,0, S,42.797,0.036,0.202,41.256308
K13SA6F, resonant,4,1, IH,75.619,0.424,39.846,43.556544
K13SA6G, detached,0,0, S,61.615,0.388,20.51,37.70838
K13SA6H, resonant,2,1, S,47.888,0.217,15.453,37.496304
K13SA6J, classical, m,0, S,44.479,0.034,2.839,42.966714
K13SA6K, classical, m,0, S,44.63,0.023,1.164,43.60351
K13SA6L, classical, m,0, S,46.852,0.197,10.307,37.622156
K13SA6M, classical, m,0, S,45.315,0.172,16.9,37.52082
K13SA6N, classical, m,0, I,43.628,0.045,6.486,41.66474
K13SB1Y, detached,0,0, S,54.269,0.314,45.108,37.228534
K13SB1Z, classical, m,0, I,41.456,0.122,25.932,36.398368
K13SB2A, classical, m,0, I,43.244,0.079,11.746,39.827724
K13SB2B, classical, i,0, S,38.31,0.082,33.322,35.16858
K13SB2C, classical, m,0, S,44.741,0.125,9.48,39.148375
K13SB2D, resonant,5,4, S,34.812,0.071,5.398,32.340348
K13SB2E, resonant,5,3, S,42.306,0.13,6.459,36.80622
K13SB2F, classical, m,0, S,43.787,0.012,3.758,43.261556
K13SB2G, resonant,7,4, I,43.808,0.156,4.132,36.973952
K13SB2H, classical, m,0, S,45.782,0.094,1.777,41.478492
K13SB2J, classical, m,0, S,43.746,0.006,3.842,43.483524
K13SB2K, classical, m,0, S,44.117,0.078,1.928,40.675874
K13SB2L, resonant,5,4, S,34.834,0.088,2.091,31.768608
K13SB2M, classical, m,0, S,44.204,0.072,2.715,41.021312
K13SB2N, classical, m,0, S,43.214,0.043,12.722,41.355798
K13SB2O, detached,0,0, S,50.599,0.314,24.496,34.710914
K13SB2P, resonant,9,4, I,51.664,0.219,38.668,40.349584
K13SB2Q, resonant,22,13, I,42.691,0.105,22.471,38.208445
K13SB2S, classical, m,0, S,40.03,0.073,14.742,37.10781
K13SB2T, classical, m,0, S,43.581,0.045,4.517,41.619855
K13SB2U, resonant,3,2, S,39.283,0.206,2.393,31.190702
K13SB2V, classical, m,0, S,43.909,0.158,32.372,36.971378
K13SB2W, classical, m,0, S,43.811,0.092,0.687,39.780388
K13SB2X, resonant,7,3, S,53.032,0.27,1.999,38.71336
K13SB2Y, scattering,0,0, I,38.144,0.314,13.474,26.166784
K13SB2Z, classical, m,0, S,42.938,0.035,1.266,41.43517
K13SB3A, classical, m,0, S,40.346,0.041,20.558,38.691814
K13SB3B, classical, m,0, S,45.624,0.092,3.018,41.426592
K13SB3D, classical, m,0, S,45.918,0.137,19.586,39.627234
K13SB3E, resonant,7,4, S,43.671,0.244,31.276,33.015276
K13SB3F, resonant,3,2, S,39.341,0.026,37.674,38.318134
K13SB3G, classical, m,0, S,46.614,0.179,8.04,38.270094
K13SB3H, classical, m,0, S,45.344,0.08,1.187,41.71648
K13TE5P, centaur,0,0, S,22.895,0.413,29.278,13.439365
K13TF9H, classical, m,0, I,40.948,0.095,33.605,37.05794
K13TF9M, classical, m,0, S,46.468,0.168,9.543,38.661376
K13TH1X, resonant,13,6, S,50.361,0.277,19.589,36.411003
K13TH1Y, resonant,3,2, S,39.4,0.243,24.955,29.8258
K13TH1Z, classical, m,0, S,45.368,0.192,15.886,36.657344
K13TH2A, resonant,3,2, S,39.427,0.184,14.547,32.172432
K13TH2B, classical, m,0, I,43.032,0.196,11.624,34.597728
K13TH2C, classical, m,0, S,43.69,0.046,7.463,41.68026
K13TH2D, classical, m,0, S,42.498,0.161,11.003,35.655822
K13TH2E, detached,0,0, S,48.253,0.26,29.841,35.70722
K13TH2F, classical, m,0, S,43.756,0.025,2.894,42.6621
K13TH2G, resonant,2,1, S,47.891,0.32,4.801,32.56588
K13TH2H, resonant,5,3, S,42.312,0.258,11.554,31.395504
K13TH2J, detached,0,0, S,51.932,0.289,27.379,36.923652
K13TH2K, classical, m,0, S,46.463,0.204,12.592,36.984548
K13TH2L, classical, m,0, S,43.783,0.061,1.791,41.112237
K13TH2M, resonant,7,2, IH,69.68,0.477,12.608,36.44264
K13TI7B, scattering,0,0, S,76.861,0.787,50.795,16.371393
K13TI7C, resonant,7,4, S,43.668,0.063,1.038,40.916916
