des,type,p,q,soi,a,e,i,q
145486, centaur,0,0, S,17.628,0.531,3.784,8.267532
148112, classical, m,0, S,43.935,0.04,0.791,42.1776
148209, detached,0,0, I,221.938,0.801,22.756,44.165662
148780, classical, m,0, S,44.239,0.062,5.199,41.496182
148975, centaur,0,0, S,29.441,0.683,12.614,9.332797
149348, resonant,11,6, I,45.062,0.122,2.988,39.564436
149349, resonant,5,3, S,42.275,0.24,7.07,32.129
149560, scattering,0,0, S,41.513,0.477,34.821,21.711299
150642, classical, m,0, S,45.184,0.119,10.216,39.807104
160091, classical, m,0, S,45.092,0.109,1.982,40.176972
160147, resonant,7,4, I,43.696,0.088,2.646,39.850752
160148, resonant,7,2, I,69.572,0.506,15.321,34.368568
160256, classical, m,0, S,42.961,0.062,4.907,40.297418
160427, centaur,0,0, S,24.51,0.043,12.259,23.45607
168700, resonant,3,2, S,39.357,0.231,4.991,30.265533
168703, classical, m,0, S,39.786,0.075,4.917,36.80205
169071, resonant,3,2, S,39.286,0.192,5.637,31.743088
174567, resonant,15,8, SH,45.745,0.143,21.511,39.203465
175113, classical, i,0, S,38.957,0.068,13.356,36.307924
181708, classical, m,0, S,43.72,0.048,7.749,41.62144
181855, classical, m,0, I,45.982,0.182,28.682,37.613276
181867, resonant,7,3, S,52.786,0.29,5.48,37.47806
181868, detached,0,0, S,49.546,0.292,16.68,35.078568
181871, resonant,7,4, S,43.674,0.085,0.806,39.96171
181874, detached,0,0, I,52.727,0.257,17.203,39.176161
181902, scattering,0,0, I,122.404,0.693,25.929,37.578028
182222, resonant,7,4, I,43.61,0.097,6.11,39.37983
182223, detached,0,0, I,58.436,0.383,19.883,36.055012
182294, resonant,11,6, I,44.987,0.162,10.652,37.699106
182397, resonant,9,4, I,51.637,0.234,17.036,39.553942
182926, classical, m,0, S,45.758,0.147,2.195,39.031574
182933, detached,0,0, I,50.447,0.24,1.054,38.33972
182934, classical, m,0, S,44.244,0.109,11.611,39.421404
183595, classical, m,0, S,44.546,0.103,1.66,39.957762
183963, classical, m,0, S,44.353,0.102,2.445,39.828994
183964, resonant,7,3, S,53.006,0.382,11.307,32.757708
184212, resonant,27,4, I,107.524,0.671,15.434,35.375396
184314, classical, m,0, I,45.135,0.139,5.77,38.861235
187661, centaur,0,0, S,23.947,0.404,33.125,14.272412
202421, classical, m,0, S,43.327,0.147,25.716,36.957931
208996, resonant,3,2, S,39.469,0.179,13.565,32.404049
225088, resonant,10,3, S,67.066,0.503,30.803,33.331802
229762, detached,0,0, I,73.439,0.489,23.357,37.527329
230965, detached,0,0, S,47.094,0.247,38.116,35.461782
241097, scattering,0,0, I,40.523,0.777,15.683,9.036629
248835, centaur,0,0, S,22.066,0.458,36.296,11.959772
250112, centaur,0,0, S,12.555,0.314,19.474,8.61273
275809, classical, m,0, S,43.844,0.083,1.547,40.204948
278361, classical, o,0, I,47.961,0.159,12.058,40.335201
281371, centaur,0,0, S,14.707,0.308,27.121,10.177244
303712, classical, m,0, S,44.152,0.104,1.341,39.560192
303775, scattering,0,0, S,111.837,0.67,14.03,36.90621
305543, detached,0,0, S,61.96,0.406,25.152,36.80424
306792, resonant,3,2, S,39.503,0.156,15.616,33.340532
307251, classical, m,0, S,46.693,0.202,9.763,37.261014
307261, classical, m,0, S,41.737,0.145,17.693,35.685135
307463, resonant,3,2, S,39.148,0.209,1.369,30.966068
307616, classical, m,0, S,43.765,0.076,10.359,40.43886
307982, scattering,0,0, S,90.17,0.596,16.279,36.42868
308193, classical, m,0, S,43.351,0.142,28.633,37.195158
308379, resonant,2,1, S,47.8,0.198,10.007,38.3356
308460, resonant,5,4, S,34.828,0.066,1.518,32.529352
308634, classical, m,0, S,43.405,0.104,7.866,38.89088
308933, scattering,0,0, I,800.052,0.97,19.468,24.00156
309139, centaur,0,0, S,15.85,0.377,31.606,9.87455
309239, scattering,0,0, S,30.235,0.301,36.101,21.134265
309737, centaur,0,0, S,10.942,0.437,6.042,6.160346
309741, centaur,0,0, S,27.226,0.612,35.829,10.563688
310071, centaur,0,0, S,29.905,0.566,19.662,12.97877
312645, resonant,2,1, S,47.554,0.305,18.89,33.05003
315530, classical, m,0, S,41.778,0.139,27.405,35.970858
315898, jc,0,0, S,8.393,0.353,42.047,5.430271
